"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57540973";"01";"26621";"";"";"2036305";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-17";"6M1234  56T2345  5N123";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540973";"01";"24072";"";"";"2036305";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-17";"6M1234  56T2345  5N123";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540973";"01";"17214";"";"";"2036305";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-17";"6M1234  56T2345  5N123";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540973";"01";"21584";"";"";"2036305";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-17";"6M1234  56T2345  5N123";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540974";"01";"19116";"";"";"2036304";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-24";"6M1234  56T2345  5N1234";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540974";"01";"";"5056060";"";"2036304";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-10";"2009-09-24";"6M1234  56T2345  5N1234";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540975";"01";"15524";"";"";"2036303";"LATO SENSU";"";"DEPARTAMENTO DE ODONTOLOGIA";"2009";"2";"2009-09-24";"2009-10-01";"6M1234  56T2345  5N1234";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57540976";"02";"18356";"";"";"24787";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"35N12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-19 17:59:54.173";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540977";"02";"22082";"";"";"24791";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"2N12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-19 18:37:33.098";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540977";"02";"18356";"";"";"24791";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"2N12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-19 18:37:33.098";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540978";"02";"18356";"";"";"24810";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"7M1234";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-19 17:39:28.86";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540979";"02";"5752204";"";"";"26363";"GRADUAÇÃO";"Campus Central";"LIVRE";"2009";"2";"2009-08-10";"2009-12-16";"2N1234";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-29 20:50:47.264";"f";"";"";"CONSOLIDADA";"";"Presencial"
